Ganancia,Diversidad
-9717832.697750002,-0.8971788350670804,
-3.044760965279999E7,-0.6367498072063987,
-3.042791933849999E7,-0.6499426659881773,
-3.0206277007099994E7,-0.663135524769956,
-3.0215393031899992E7,-0.6527249974572131,
-9899109.152250001,-0.8943965035980445,
-9498012.2766,-0.8999611665361162,
-1.2897614506749999E7,-0.8867683077543376,
-1.5811559275449999E7,-0.8735754489725589,
-3.0194250571499996E7,-0.6667700089475291,
-1.54711930027E7,-0.8839859762853017,
-1.6606096975350002E7,-0.8707931175035232,
-1.839807225905E7,-0.8707931175035231,
-1.953887837655E7,-0.8576002587217446,
-2.7118624884549994E7,-0.7766972784945934,
-3.0065351635199994E7,-0.6931557265110863,
-2.039206922905E7,-0.8526206966156583,
-2.5719194604549993E7,-0.794869699382458,
-2.7454347827699993E7,-0.7635044197128147,
-2.972962869204999E7,-0.7063485852928648,
-3.0136657336499993E7,-0.6799628677293076,
-2.0753443571749996E7,-0.8444073999399659,
-2.2101209489049997E7,-0.8344482757277937,
-2.7858487614549994E7,-0.7585248576067287,
-2.8571585284549993E7,-0.7403524367188639,
-2.9240711784549993E7,-0.7221800158309991,
-2.9396225135199994E7,-0.7113281473989509,
-2.8694781921099994E7,-0.7299419094061209,
-2.7981684251099996E7,-0.7481143302939858,
-2.6026048144449994E7,-0.7794796099636291,
-2.4762045390399996E7,-0.8030829960581504,
-2.6208111512049995E7,-0.7790382688443235,
-2.5977818767049994E7,-0.7898901372763718,
-2.350063976905E7,-0.816275854839929,
-2.401005434454999E7,-0.8130421202703226,
-2.2794280967899997E7,-0.8262349790521013,
-1.96594778804E7,-0.8576002587217445,
-2.0875251257049996E7,-0.8444073999399658,
-2.153287534655E7,-0.8394278378338799,
-2.1653474850399997E7,-0.8394278378338798,
-2.3362615110399995E7,-0.821255416946015,
-2.4641445886549998E7,-0.8030829960581506,
-2.3242015606549997E7,-0.8212554169460152,
-2.4503421227899995E7,-0.8080625581642367,
-2.5902851507899996E7,-0.7898901372763719,
-2.2869248227049995E7,-0.8262349790521011,
-2.4578388487049993E7,-0.8080625581642364,
-2.7607541792049993E7,-0.7608658479564588,
-2.8347404522049993E7,-0.7426934270685942,
-2.8194210557699993E7,-0.74533199882495,
-2.890730822769999E7,-0.7271595779370852,
-2.906050219204999E7,-0.7245210061807295,
-2.957643472769999E7,-0.7089871570492206,
