Ganancia,Diversidad
-4.567777415980499E8,-0.9658184427665855,
-4.567777415980499E8,-0.9658184427665855,
-6.722622227992998E8,-0.8313108699704077,
-6.722622227992998E8,-0.8313108699704077,
-6.691121124171498E8,-0.8425765064474863,
-6.641641572171499E8,-0.8507540958470253,
-6.641641572171499E8,-0.8507540958470253,
-6.692573376676998E8,-0.8394345752466628,
-4.6900797325064987E8,-0.9597972954790723,
-6.590440564368999E8,-0.8571110229690824,
-6.394414787321498E8,-0.8752356312810499,
-6.348325425630498E8,-0.8795368998529424,
-5.835347655626498E8,-0.9111694066286786,
-6.523830403141497E8,-0.864817238933772,
-6.525623696869998E8,-0.8607011147594538,
-4.780254093648498E8,-0.9597742771993244,
-6.449133621293498E8,-0.8675719452281161,
-5.086511273524498E8,-0.9506896590124294,
-4.6830662092904985E8,-0.961981159693501,
-6.260388288881499E8,-0.8835703451588722,
-6.708955249287498E8,-0.8347929143317908,
-6.308235702881498E8,-0.8817777028006811,
-6.348325425630498E8,-0.8795368998529424,
-6.394414787321498E8,-0.8752356312810499,
-4.8228235827244985E8,-0.9591076495755287,
-4.9610942028844976E8,-0.9531708631237283,
-5.0895100682324976E8,-0.9470594182654254,
-5.237595327439497E8,-0.9406700710229845,
-6.066436727250499E8,-0.8955887426754584,
-6.590440564368999E8,-0.8571110229690824,
-6.708955249287498E8,-0.8347929143317908,
-4.8815342533234984E8,-0.955370724732392,
-6.308235702881498E8,-0.8817777028006811,
-5.2235583099814975E8,-0.944170605772546,
-5.818121465121498E8,-0.9140043870986905,
-4.908705702338498E8,-0.9544425812498011,
-6.434504510070498E8,-0.8729948283333111,
-6.150163879581497E8,-0.890839313514018,
-6.437651318701499E8,-0.8713593104534033,
-5.541769453701499E8,-0.9278154269734675,
-6.024543663790498E8,-0.898162639740422,
-6.221769662006497E8,-0.8873881349961713,
-4.663584862474499E8,-0.9638581628874048,
-6.112519703281498E8,-0.8949834576076275,
-5.530923538539499E8,-0.9294509448533754,
-6.173922248006498E8,-0.8891807773543623,
-5.422805920694499E8,-0.9335457327152702,
-5.579080527854499E8,-0.925368143315731,
-5.397137424801497E8,-0.9359930163730067,
-4.6337455003394985E8,-0.9639425237231175,
-5.541769453701499E8,-0.9278154269734675,
-5.3019029411334974E8,-0.9400034433991887,
-6.560484198241999E8,-0.8593518259168211,
-5.374572427761497E8,-0.9376285342529146,
-4.908705702338498E8,-0.9544425812498011,
-5.422805920694499E8,-0.9335457327152702,
-5.317891349861498E8,-0.9387247043876031,
-4.5969634100384986E8,-0.9657340819308727,
-6.201481521281497E8,-0.889046671155827,
-6.485531591123998E8,-0.8666379012112541,
-6.138454520501498E8,-0.8933479397277196,
-6.245208702101499E8,-0.8860789713725736,
-6.260388288881499E8,-0.8835703451588722,
-5.2433898241734976E8,-0.9405173467457941,
-5.437543958812499E8,-0.9321826328679719,
-5.688595269695499E8,-0.91889883543867,
-5.921600867010498E8,-0.9047047112600534,
-5.502133407154499E8,-0.9301175724771712,
-5.6757950585705E8,-0.9212733554538363,
-6.057300681650497E8,-0.8967760999658184,
-5.706187763810499E8,-0.9181594441723039,
-5.736584751695498E8,-0.917106193080479,
-5.634690069795499E8,-0.9234911401218272,
-5.358415000186498E8,-0.9382108010409976,
-4.7928867974584985E8,-0.9591920104112415,
-6.434504510070498E8,-0.8729948283333111,
-5.579080527854499E8,-0.925368143315731,
-4.6036506081724983E8,-0.9652201785842673,
-6.150163879581497E8,-0.890839313514018,
-5.502133407154499E8,-0.9301175724771712,
-6.437651318701499E8,-0.8713593104534033,
-5.597202621068498E8,-0.9247015156919353,
-5.673489436221498E8,-0.9221819764982296,
-5.271889652249497E8,-0.9400878042349015,
-6.024543663790498E8,-0.898162639740422,
-5.458101044675499E8,-0.9318258539996496,
-5.056671911389498E8,-0.9507740198481421,
-4.881436830192498E8,-0.957163367090583,
-6.560484198241999E8,-0.8593518259168211,
-6.575031410943999E8,-0.858460311811715,
-5.861584682050498E8,-0.9099818547727647,
-6.133664000421498E8,-0.8942565607721129,
-5.1350082772474974E8,-0.9461992490932044,
-5.381056500844496E8,-0.9365752831610898,
-5.905703935570498E8,-0.9074623155790591,
-5.971809091350497E8,-0.9027128864176189,
-5.7419737891415E8,-0.9163668018141128,
-4.852821051760499E8,-0.9578299947143788,
